customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RegistrationDate,City,State,ZipCode,CustomerSegment,LastContactDate,TotalPayments,TotalPaid,AvgPayment,FailedPayments
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,2024-11-29,San Francisco,CA,93226,Low Value,2025-11-21,5,553.68,110.74,0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,2023-11-09,San Francisco,CA,94826,High Value,2025-12-19,1,29.45,29.45,0
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,2025-12-25,Sacramento,CA,94262,New Customer,,1,86.47,86.47,1
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,2023-11-03,San Francisco,CA,92283,High Value,,2,254.41,127.2,1
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,2020-01-28,San Diego,CA,93285,New Customer,2025-10-28,5,548.85,109.77,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,2024-04-15,Bakersfield,CA,94169,High Value,2025-11-28,5,402.29,80.46,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,2022-10-23,San Diego,CA,95382,High Value,2025-10-11,3,214.87,71.62,0
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,2024-11-21,Anaheim,CA,96036,New Customer,2025-12-18,5,293.25,58.65,2
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2020-09-07,Sacramento,CA,93592,Low Value,,2,150.49,75.24,1
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,2024-11-30,Oakland,CA,96009,Low Value,2025-12-02,3,275.04,91.68,0
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,2021-10-06,Fresno,CA,93565,Medium Value,2025-10-26,5,355.13,71.03,0
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,2021-11-06,San Jose,CA,93393,At Risk,2025-10-22,2,222.44,111.22,1
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,2022-04-08,Anaheim,CA,92790,At Risk,2025-11-10,5,387.04,77.41,2
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,2021-09-13,Fresno,CA,90264,High Value,,5,310.4,62.08,1
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,2025-07-01,Fresno,CA,92941,Low Value,,2,233.43,116.72,0
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,2023-07-25,Sacramento,CA,93249,At Risk,2025-10-27,2,153.03,76.52,0
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,2021-09-16,Los Angeles,CA,90941,Medium Value,2025-11-25,2,202.56,101.28,0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,2024-08-05,Sacramento,CA,93423,At Risk,2025-10-11,5,263.04,52.61,0
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,2020-06-29,Bakersfield,CA,92576,High Value,2025-11-26,5,285.84,57.17,0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,2020-08-22,Santa Clarita,CA,91268,Low Value,,1,86.54,86.54,0
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,2023-12-09,San Francisco,CA,91089,Low Value,2025-10-29,1,31.46,31.46,0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,2021-03-12,San Francisco,CA,91462,Low Value,2025-11-07,2,213.02,106.51,0
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,2020-06-30,Oakland,CA,95832,High Value,2025-11-02,5,415.24,83.05,3
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,2020-07-06,San Francisco,CA,92999,Low Value,,4,314.22,78.55,3
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,2025-01-28,Los Angeles,CA,93628,New Customer,,4,315.92,78.98,0
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,2022-09-28,Anaheim,CA,94391,At Risk,2025-11-09,4,345.25,86.31,2
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,2023-05-23,Sacramento,CA,91864,At Risk,2025-12-08,4,369.3,92.32,3
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,2020-06-30,Fresno,CA,90769,High Value,2025-12-23,3,284.8,94.93,1
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,2020-03-05,Los Angeles,CA,95460,Medium Value,2025-11-14,1,114.71,114.71,0
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,2020-06-13,San Diego,CA,90258,At Risk,,4,256.62,64.16,0
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,2021-03-04,Santa Clarita,CA,95023,At Risk,,5,384.64,76.93,0
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,2023-01-28,San Jose,CA,92681,Low Value,,3,249.62,83.21,0
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,2022-06-27,San Jose,CA,91306,At Risk,2025-11-24,1,68.25,68.25,0
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,2022-07-04,Los Angeles,CA,92598,Medium Value,,5,420.44,84.09,3
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,2020-06-27,San Diego,CA,93649,At Risk,,4,310.51,77.63,0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,2020-12-03,Sacramento,CA,90955,Medium Value,2025-12-07,1,97.61,97.61,0
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,2023-02-28,Bakersfield,CA,92434,New Customer,2025-12-07,3,269.19,89.73,0
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,2025-08-28,San Jose,CA,94409,Medium Value,2025-12-14,1,61.38,61.38,0
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,2020-01-24,Sacramento,CA,95763,Low Value,2025-10-24,4,318.26,79.56,1
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,2023-04-24,Fresno,CA,95075,High Value,2025-11-03,1,25.11,25.11,0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,2020-11-09,San Francisco,CA,95037,At Risk,2025-12-16,2,166.85,83.42,0
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,2020-07-24,Santa Clarita,CA,92869,High Value,2025-11-11,2,139.15,69.58,0
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,2020-11-17,Los Angeles,CA,90539,Medium Value,2025-12-20,4,268.86,67.22,1
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,2021-04-14,Anaheim,CA,95636,High Value,,3,292.72,97.57,1
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,2021-10-12,Fresno,CA,96113,At Risk,,5,306.92,61.38,2
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,2024-07-10,Santa Clarita,CA,90049,At Risk,,5,508.44,101.69,1
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,2022-02-20,Anaheim,CA,92582,High Value,2025-10-12,5,333.42,66.68,0
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,2020-11-18,San Diego,CA,91110,At Risk,2025-11-28,4,311.45,77.86,2
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,2024-03-11,Los Angeles,CA,95952,Medium Value,2025-11-09,4,303.3,75.82,0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,2025-01-23,Los Angeles,CA,94321,Low Value,2025-10-21,5,454.15,90.83,2
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,2022-12-02,Fresno,CA,93239,Medium Value,2025-12-08,5,438.01,87.6,0
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,2021-04-17,San Diego,CA,90497,Medium Value,,2,152.27,76.13,1
